Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:30:00+00:00,260.0498962402344,217.4499969482422,253.89999389648438,732.3400268554688,1122.72998046875,262.8500061035156,220.0050048828125,257.0799865722656,740.5900268554688,1157.5,259.7200012207031,217.3300018310547,253.6649932861328,731.0590209960938,1122.3900146484375,262.7900085449219,219.42999267578125,255.0399932861328,733.4000244140625,1143.3599853515625,0,0,0,0,0
2025-10-22 14:30:00+00:00,258.4299011230469,218.73989868164062,253.67999267578125,729.6300048828125,1117.4200439453125,261.1300048828125,218.9600067138672,257.17999267578125,736.6334838867188,1125.469970703125,257.6401062011719,216.91000366210938,252.8699951171875,729.6300048828125,1114.6500244140625,260.0,217.43800354003906,253.9250030517578,732.5499877929688,1123.280029296875,5930214,6425894,3974722,1388235,2607312
2025-10-22 15:30:00+00:00,258.54998779296875,218.97000122070312,252.4600067138672,730.02001953125,1119.0150146484375,259.489990234375,219.75999450683594,254.8300018310547,733.4600219726562,1124.52001953125,258.04998779296875,218.3800048828125,252.27999877929688,728.3400268554688,1115.783447265625,258.45001220703125,218.74000549316406,253.72000122070312,729.6599731445312,1117.385009765625,3763921,3499390,2073807,645997,1299285
2025-10-22 16:30:00+00:00,256.69140625,217.8000030517578,251.58999633789062,727.1699829101562,1115.4449462890625,258.7699890136719,219.05999755859375,252.77000427246094,730.7100219726562,1119.5399169921875,256.29998779296875,217.47999572753906,250.4510040283203,724.8699951171875,1112.51904296875,258.54998779296875,218.9600067138672,252.41000366210938,730.510009765625,1118.9200439453125,4679141,4014663,1843035,682730,1209837
2025-10-22 17:30:00+00:00,256.5509948730469,217.30499267578125,251.97109985351562,728.9276733398438,1123.3599853515625,257.0798034667969,217.80999755859375,252.22000122070312,729.1799926757812,1123.6800537109375,255.42999267578125,216.52000427246094,250.62420654296875,724.030029296875,1114.5,256.6700134277344,217.78500366210938,251.5800018310547,726.6400146484375,1115.43994140625,4221043,4435868,1352067,629279,1022550
2025-10-22 18:30:00+00:00,257.510009765625,218.27000427246094,252.44000244140625,732.510009765625,1116.2950439453125,257.67999267578125,218.3300018310547,252.75999450683594,732.8400268554688,1125.8499755859375,256.1400146484375,217.00999450683594,251.57640075683594,728.5,1115.5999755859375,256.54998779296875,217.30499267578125,251.97000122070312,728.9450073242188,1123.1400146484375,3195141,3707985,1246308,849802,964885
2025-10-22 19:30:00+00:00,258.42999267578125,217.97000122070312,252.52000427246094,733.2999877929688,1116.68994140625,258.80999755859375,218.3800048828125,252.75999450683594,733.7000122070312,1121.4722900390625,257.42999267578125,217.54100036621094,251.67999267578125,732.25,1115.157958984375,257.5199890136719,218.2899932861328,252.39999389648438,732.510009765625,1116.5400390625,4263522,3486824,1323816,723970,1005395
2025-10-23 13:30:00+00:00,259.4798889160156,219.88560485839844,254.6300048828125,739.5,1110.844970703125,260.1799011230469,220.80999755859375,255.86000061035156,742.4099731445312,1127.8284912109375,258.0101013183594,218.17999267578125,252.76829528808594,733.47998046875,1106.8900146484375,259.8900146484375,218.94500732421875,253.85000610351562,734.7000122070312,1126.9000244140625,6251007,7973740,2944025,2157239,2028338
